"행정구역","2025년11월_계_총인구수","2025년11월_계_연령구간인구수","2025년11월_계_0~4세","2025년11월_계_5~9세","2025년11월_계_10~14세","2025년11월_계_15~19세","2025년11월_계_20~24세","2025년11월_계_25~29세","2025년11월_계_30~34세","2025년11월_계_35~39세","2025년11월_계_40~44세","2025년11월_계_45~49세","2025년11월_계_50~54세","2025년11월_계_55~59세","2025년11월_계_60~64세","2025년11월_계_65~69세","2025년11월_계_70~74세","2025년11월_계_75~79세","2025년11월_계_80~84세","2025년11월_계_85~89세","2025년11월_계_90~94세","2025년11월_계_95~99세","2025년11월_계_100세 이상","2025년11월_남_총인구수","2025년11월_남_연령구간인구수","2025년11월_남_0~4세","2025년11월_남_5~9세","2025년11월_남_10~14세","2025년11월_남_15~19세","2025년11월_남_20~24세","2025년11월_남_25~29세","2025년11월_남_30~34세","2025년11월_남_35~39세","2025년11월_남_40~44세","2025년11월_남_45~49세","2025년11월_남_50~54세","2025년11월_남_55~59세","2025년11월_남_60~64세","2025년11월_남_65~69세","2025년11월_남_70~74세","2025년11월_남_75~79세","2025년11월_남_80~84세","2025년11월_남_85~89세","2025년11월_남_90~94세","2025년11월_남_95~99세","2025년11월_남_100세 이상","2025년11월_여_총인구수","2025년11월_여_연령구간인구수","2025년11월_여_0~4세","2025년11월_여_5~9세","2025년11월_여_10~14세","2025년11월_여_15~19세","2025년11월_여_20~24세","2025년11월_여_25~29세","2025년11월_여_30~34세","2025년11월_여_35~39세","2025년11월_여_40~44세","2025년11월_여_45~49세","2025년11월_여_50~54세","2025년11월_여_55~59세","2025년11월_여_60~64세","2025년11월_여_65~69세","2025년11월_여_70~74세","2025년11월_여_75~79세","2025년11월_여_80~84세","2025년11월_여_85~89세","2025년11월_여_90~94세","2025년11월_여_95~99세","2025년11월_여_100세 이상"
"충청남도 아산시 (4420000000)","359,031","359,031","11,879","16,940","21,240","19,136","16,658","21,225","25,647","26,731","32,511","31,694","29,352","26,494","23,279","19,751","13,248","9,606","6,971","4,476","1,784","374","35","187,206","187,206","6,103","8,635","10,976","9,852","9,096","11,988","13,990","14,142","17,427","17,160","16,017","14,150","12,343","9,992","6,278","4,301","2,742","1,488","449","68","9","171,825","171,825","5,776","8,305","10,264","9,284","7,562","9,237","11,657","12,589","15,084","14,534","13,335","12,344","10,936","9,759","6,970","5,305","4,229","2,988","1,335","306","26"
"충청남도 서산시 (4421000000)","172,564","172,564","4,277","6,259","8,462","8,437","6,776","8,839","9,844","9,721","11,909","13,434","14,784","14,913","14,426","13,016","9,059","7,226","5,349","3,709","1,729","341","54","90,385","90,385","2,222","3,218","4,329","4,407","4,122","5,400","5,860","5,457","6,426","7,167","7,943","7,925","7,572","6,540","4,394","3,497","2,185","1,218","440","58","5","82,179","82,179","2,055","3,041","4,133","4,030","2,654","3,439","3,984","4,264","5,483","6,267","6,841","6,988","6,854","6,476","4,665","3,729","3,164","2,491","1,289","283","49"
"충청남도 논산시 (4423000000)","106,919","106,919","1,817","2,898","3,959","4,357","3,887","4,593","4,714","4,382","5,633","6,517","8,567","9,431","10,439","11,064","8,235","6,190","5,012","3,390","1,508","289","37","53,633","53,633","960","1,492","2,034","2,269","2,148","2,586","2,663","2,324","2,947","3,436","4,627","5,017","5,379","5,550","4,009","2,825","1,920","1,027","359","55","6","53,286","53,286","857","1,406","1,925","2,088","1,739","2,007","2,051","2,058","2,686","3,081","3,940","4,414","5,060","5,514","4,226","3,365","3,092","2,363","1,149","234","31"
"충청남도 계룡시 (4425000000)","45,958","45,958","1,222","1,999","2,893","3,216","2,313","2,118","2,497","2,752","3,645","4,243","4,463","3,853","3,252","2,889","1,881","1,162","786","486","233","49","6","22,883","22,883","617","1,032","1,465","1,696","1,322","1,172","1,321","1,427","1,787","2,023","2,231","1,870","1,582","1,331","929","560","303","149","56","7","3","23,075","23,075","605","967","1,428","1,520","991","946","1,176","1,325","1,858","2,220","2,232","1,983","1,670","1,558","952","602","483","337","177","42","3"
"충청남도 당진시 (4427000000)","172,599","172,599","4,712","6,816","8,900","8,126","5,896","8,201","9,785","10,716","13,851","13,917","14,568","14,305","14,157","12,673","8,652","6,851","5,075","3,594","1,459","308","37","92,741","92,741","2,369","3,521","4,548","4,281","3,449","4,918","5,771","6,124","7,802","7,782","8,357","8,113","7,784","6,602","4,259","3,304","2,068","1,197","420","66","6","79,858","79,858","2,343","3,295","4,352","3,845","2,447","3,283","4,014","4,592","6,049","6,135","6,211","6,192","6,373","6,071","4,393","3,547","3,007","2,397","1,039","242","31"
"충청남도 금산군 (4471000000)","48,969","48,969","588","960","1,731","2,240","1,654","1,489","1,396","1,543","2,177","2,753","3,778","4,624","5,393","5,676","4,325","3,307","2,645","1,815","735","125","15","24,900","24,900","299","476","913","1,198","935","872","788","785","1,141","1,454","2,110","2,548","2,944","2,921","2,167","1,578","1,000","542","203","25","1","24,069","24,069","289","484","818","1,042","719","617","608","758","1,036","1,299","1,668","2,076","2,449","2,755","2,158","1,729","1,645","1,273","532","100","14"
"충청남도 부여군 (4476000000)","58,477","58,477","586","1,078","1,801","2,029","1,854","1,803","1,732","1,706","2,380","3,077","4,074","5,013","6,243","7,265","5,567","4,435","3,682","2,666","1,199","248","39","29,157","29,157","324","556","971","1,066","1,030","1,020","1,008","890","1,313","1,664","2,247","2,705","3,218","3,701","2,713","2,033","1,441","874","321","56","6","29,320","29,320","262","522","830","963","824","783","724","816","1,067","1,413","1,827","2,308","3,025","3,564","2,854","2,402","2,241","1,792","878","192","33"
"충청남도 서천군 (4477000000)","47,272","47,272","554","846","1,347","1,470","1,396","1,456","1,435","1,319","1,930","2,432","3,376","4,045","4,971","5,557","4,709","3,845","3,104","2,237","1,011","216","16","23,523","23,523","300","415","688","761","800","833","814","741","1,066","1,349","1,833","2,238","2,647","2,803","2,213","1,810","1,169","742","266","33","2","23,749","23,749","254","431","659","709","596","623","621","578","864","1,083","1,543","1,807","2,324","2,754","2,496","2,035","1,935","1,495","745","183","14"
"충청남도 청양군 (4479000000)","29,795","29,795","353","472","770","1,084","1,165","1,041","868","878","1,165","1,407","2,008","2,599","3,441","3,622","2,757","2,171","1,818","1,427","631","110","8","15,247","15,247","169","235","394","584","710","618","495","475","650","818","1,162","1,454","1,833","1,837","1,437","1,027","701","443","181","20","4","14,548","14,548","184","237","376","500","455","423","373","403","515","589","846","1,145","1,608","1,785","1,320","1,144","1,117","984","450","90","4"
"충청남도 홍성군 (4480000000)","100,334","100,334","2,393","3,548","4,680","4,729","3,857","4,461","5,304","5,082","6,343","6,867","8,081","8,061","8,697","8,436","6,496","5,089","3,868","2,844","1,223","245","30","50,265","50,265","1,203","1,831","2,418","2,421","2,147","2,469","2,925","2,682","3,216","3,506","4,309","4,294","4,415","4,188","3,140","2,365","1,444","910","325","52","5","50,069","50,069","1,190","1,717","2,262","2,308","1,710","1,992","2,379","2,400","3,127","3,361","3,772","3,767","4,282","4,248","3,356","2,724","2,424","1,934","898","193","25"
